"","cohort","treatment","analysis","sofa_start","sofa_end","psi","std_dev","pvalue","CI","n"
"1","MIMIC","ventilation_bin","Non-white & Non-Treatment",0,100,0.521822236380587,0.00891596499855453,0,"c(0.504347266096, 0.539297206665173)",27034
"2","MIMIC","ventilation_bin","Non-white & Non-Treatment",0,5,0.442902881862542,0.0114749616279728,0,"c(0.420412370347736, 0.465393393377348)",13301
"3","MIMIC","ventilation_bin","Non-white & Non-Treatment",6,10,0.619257950530032,0.0144327669387693,0,"c(0.590970247132784, 0.64754565392728)",10056
"4","MIMIC","ventilation_bin","Non-white & Non-Treatment",11,15,0.804878048780461,0.0357383972138335,2.56258881106132e-112,"c(0.734832077376161, 0.874924020184761)",3124
"5","MIMIC","ventilation_bin","Non-white & Non-Treatment",16,100,0.79999999999949,0.126605629839397,2.63543620640758e-10,"c(0.551857525274262, 1)",553
"6","MIMIC","ventilation_bin","Non-white & Yes-Treatment",0,100,0.503606279168436,0.0102988076664707,0,"c(0.483420987058448, 0.523791571278424)",27034
"7","MIMIC","ventilation_bin","Non-white & Yes-Treatment",0,5,0.336923076923132,0.0185398827726893,8.46359599150128e-74,"c(0.300585574411066, 0.373260579435197)",13301
"8","MIMIC","ventilation_bin","Non-white & Yes-Treatment",6,10,0.511604439959629,0.0158795347361027,9.92697845799487e-228,"c(0.480481123785616, 0.542727756133643)",10056
"9","MIMIC","ventilation_bin","Non-white & Yes-Treatment",11,15,0.626279863481232,0.0199884070978849,1.70298655106282e-215,"c(0.587103305461053, 0.665456421501412)",3124
"10","MIMIC","ventilation_bin","Non-white & Yes-Treatment",16,100,0.72307692307647,0.0392819623912553,1.14694302306706e-75,"c(0.646085691547552, 0.800068154605387)",553
"11","MIMIC","ventilation_bin","White & Non-Treatment",0,100,0.484662576687146,0.00461331985358026,0,"c(0.475620635924965, 0.493704517449327)",27034
"12","MIMIC","ventilation_bin","White & Non-Treatment",0,5,0.423214522326737,0.00568743689192762,0,"c(0.412067350854214, 0.434361693799259)",13301
"13","MIMIC","ventilation_bin","White & Non-Treatment",6,10,0.573036719378179,0.00809832980839024,0,"c(0.557164284618807, 0.588909154137551)",10056
"14","MIMIC","ventilation_bin","White & Non-Treatment",11,15,0.771362586604737,0.020184988516107,0,"c(0.731800736084813, 0.810924437124661)",3124
"15","MIMIC","ventilation_bin","White & Non-Treatment",16,100,0.879999999975155,0.0650511504312156,1.07160073247481e-41,"c(0.752502087977075, 1)",553
"16","MIMIC","ventilation_bin","White & Yes-Treatment",0,100,0.446745562333045,0.00502161323198661,0,"c(0.436903381254061, 0.456587743412029)",27034
"17","MIMIC","ventilation_bin","White & Yes-Treatment",0,5,0.289783281734108,0.00798265157877237,1.52477139081399e-288,"c(0.274137572138582, 0.305428991329633)",13301
"18","MIMIC","ventilation_bin","White & Yes-Treatment",6,10,0.451689671689112,0.00767762443849076,0,"c(0.436641804302846, 0.466737539075379)",10056
"19","MIMIC","ventilation_bin","White & Yes-Treatment",11,15,0.633198789101911,0.0108268747724679,0,"c(0.611978504482748, 0.654419073721073)",3124
"20","MIMIC","ventilation_bin","White & Yes-Treatment",16,100,0.747422680411815,0.0220778854245597,3.17920637696875e-251,"c(0.704150820124876, 0.790694540698754)",553
