,treatment,race,sev_start,sev_end,psi,i_ci,s_ci,pvalue,n,g_XGBoost,g_SVM,Q_XGBoost,Q_SVM,g_AUC,Q_R2,
1,ventilation_bin,all,0,37,0.008905016,-0.004684652,0.022494683,0.199021027,21242,0.831994854,0.168005146,0.804236942,0.195763058,0.863718254,0.176842755,
2,ventilation_bin,all,38,45,0.084816063,0.070428948,0.099203177,6.99E-31,16756,0.916271601,0.083728399,1,0,0.89644144,0.198371294,
3,ventilation_bin,all,46,51,0.111092724,0.094378931,0.127806518,8.52E-39,12780,0.805374157,0.194625843,1,0,0.980013255,0.213981867,
4,ventilation_bin,all,52,100,0.119314466,0.103314134,0.135314798,2.23E-48,6910,1,0,1,0,0.882134503,0.151052469,
5,ventilation_bin,non-white,0,37,0.012451689,-0.012242611,0.037145988,0.323007072,4055,0.722364657,0.277635343,0.638977356,0.361022644,0.935119847,0.161040019,
6,ventilation_bin,non-white,38,45,0.057715154,0.032344933,0.083085375,8.24E-06,3053,0.787206,0.212794,1,0,0.933321529,0.110590591,
7,ventilation_bin,non-white,46,51,0.13322857,0.102737939,0.163719201,1.09E-17,2519,0.692144928,0.307855072,1,0,0.984445615,0.14123445,
8,ventilation_bin,non-white,52,100,0.12454829,0.088966836,0.160129745,6.85E-12,1445,1,0,0.711320499,0.288679501,0.917658102,0.169267485,
9,ventilation_bin,white,0,37,0.009305721,-0.006235476,0.024846917,0.240553629,17187,0.823037368,0.176962632,0.786003077,0.213996923,0.892401504,0.167577766,
10,ventilation_bin,white,38,45,0.091285565,0.0758648,0.10670633,4.00E-31,13703,0.89407851,0.10592149,1,0,0.904610987,0.195488685,
11,ventilation_bin,white,46,51,0.110824223,0.092246744,0.129401702,1.39E-31,10261,0.800831896,0.199168104,1,0,0.980927517,0.200235463,
12,ventilation_bin,white,52,100,0.116375852,0.099663098,0.133088607,2.07E-42,5465,1,0,1,0,0.89606114,0.142761319,
13,rrt,all,0,37,0.122790433,0.107739208,0.137841657,1.50E-57,21242,1,0,0.815237641,0.184762359,0.913841548,0.177121846,
14,rrt,all,38,45,0.05402443,0.038320841,0.069728019,1.55E-11,16756,1,0,1,0,0.897579813,0.199748155,
15,rrt,all,46,51,0.044612531,0.02763862,0.061586443,2.58E-07,12780,1,0,1,0,0.892279964,0.213450011,
16,rrt,all,52,100,0.014779141,-0.008813148,0.03837143,0.219514036,6910,1,0,1,0,0.877561851,0.151038604,
17,rrt,non-white,0,37,0.012276547,-0.012597832,0.037150926,0.333373097,4055,1,0,0.54170129,0.45829871,0.960004462,0.149283728,
18,rrt,non-white,38,45,0.024203866,-0.005026824,0.053434556,0.104602811,3053,1,0,1,0,0.919847483,0.11824524,
19,rrt,non-white,46,51,0.049464106,0.020178912,0.0787493,0.000931179,2519,1,0,1,0,0.9520009,0.150453722,
20,rrt,non-white,52,100,-0.035383276,-0.071585612,0.00081906,0.055408898,1445,1,0,0.653865818,0.346134182,0.938622353,0.169187778,
21,rrt,white,0,37,0.149526375,0.13230467,0.166748079,6.08E-65,17187,1,0,0.797230545,0.202769455,0.911951971,0.165624186,
22,rrt,white,38,45,0.055042635,0.037084145,0.073001125,1.89E-09,13703,1,0,1,0,0.893824474,0.19165074,
23,rrt,white,46,51,0.036298716,0.017093239,0.055504193,0.000211861,10261,1,0,1,0,0.885521154,0.200712234,
24,rrt,white,52,100,0.028940006,0.002546369,0.055333643,0.031626933,5465,1,0,1,0,0.889841342,0.139993248,
25,pressor,all,0,37,0.019105115,0.008525839,0.029684392,0.000400789,21242,0.666452744,0.333547256,0.797349625,0.202650375,0.743181716,0.175788275,
26,pressor,all,38,45,0.111771446,0.100553483,0.12298941,6.26E-85,16756,0.794123496,0.205876504,1,0,0.797262732,0.203632572,
27,pressor,all,46,51,0.113186234,0.100606286,0.125766182,1.33E-69,12780,0.772963279,0.227036721,1,0,0.835890704,0.211721494,
28,pressor,all,52,100,0.153468555,0.136458278,0.170478832,5.64E-70,6910,0.676234292,0.323765708,1,0,0.841006467,0.163842341,
29,pressor,non-white,0,37,0.031412692,0.008853577,0.053971807,0.006348358,4055,0.450011338,0.549988662,0.548762391,0.451237609,0.889024211,0.155004741,
30,pressor,non-white,38,45,0.112168181,0.087089929,0.137246434,1.84E-18,3053,0.5586686,0.4413314,1,0,0.844060791,0.112851446,
31,pressor,non-white,46,51,0.13218403,0.107546057,0.156822002,7.33E-26,2519,0.500059712,0.499940288,1,0,0.891989837,0.162663181,
32,pressor,non-white,52,100,0.20702,0.16715,0.24688,2.00E-16,1445,0.2736277,0.7263723,0.2152645,0.7847355,0.8236,0.231954,
33,pressor,white,0,37,0.016522954,0.004776671,0.028269237,0.005832694,17187,0.769445763,0.230554237,0.765239409,0.234760591,0.789242139,0.167335786,
34,pressor,white,38,45,0.109819327,0.097426159,0.122212495,1.44E-67,13703,0.774552646,0.225447354,1,0,0.799988666,0.191766116,
35,pressor,white,46,51,0.110968846,0.096834098,0.125103594,1.98E-53,10261,0.75043572,0.24956428,1,0,0.841050019,0.203360647,
36,pressor,white,52,100,0.138093852,0.118993414,0.15719429,1.39E-45,5465,0.674307202,0.325692798,1,0,0.840374586,0.148123587,
