"","treatment","race","sev_start","sev_end","psi","i_ci","s_ci","pvalue","n","g_XGBoost","g_SVM","Q_XGBoost","Q_SVM","g_AUC","Q_R2"
"1","ventilation_bin","all",0,3,0.0802372590582049,0.0679812361012693,0.0924932820151404,1.09013894226761e-37,20753,1,0,1,0,0.74637544583779,0.181023752736678
"2","ventilation_bin","all",4,6,0.0670587724508491,0.0565511679977302,0.0775663769039681,6.70127928818113e-36,20447,0.761086201152869,0.238913798847131,1,0,0.765512200271191,0.169078912154088
"3","ventilation_bin","all",7,10,0.055497660369097,0.0404719719160443,0.0705233488221496,4.5101794691765e-13,11878,0.639039014872117,0.360960985127883,0.720245232196696,0.279754767803303,0.812416440295555,0.113746567374052
"4","ventilation_bin","all",11,100,-0.0292226144635405,-0.0629557397498087,0.00451051082272777,0.0895218756054845,4604,1,0,0.558916619930655,0.441083380069345,0.865092501097941,0.0500158492896788
"5","ventilation_bin","non-white",0,3,0.0655247798952674,0.0396286736462347,0.0914208861443,7.07193983342918e-07,3775,1,0,1,0,0.79668731640636,0.0893737179944508
"6","ventilation_bin","non-white",4,6,0.0795468257541324,0.0572204109520123,0.101873240556253,2.88351002746523e-12,3862,0.451583793285411,0.548416206714589,1,0,0.865045218368852,0.13653580211151
"7","ventilation_bin","non-white",7,10,0.063679325444002,0.0320483901568939,0.0953102607311102,7.95115939356141e-05,2462,0.374028043776243,0.625971956223757,0.4294240533881,0.5705759466119,0.884076932430399,0.0885458274817342
"8","ventilation_bin","non-white",11,100,0.0159095281820394,-0.0501789345060466,0.0819979908701254,0.637046451946021,971,1,0,0.349924878007953,0.650075121992047,0.926782139679715,0.025822665497048
"9","ventilation_bin","white",0,3,0.0854818660305318,0.0715108065275756,0.099452925533488,3.90154673596878e-33,16978,1,0,1,0,0.751243716029461,0.173518025548609
"10","ventilation_bin","white",4,6,0.0634808283698046,0.0517667575430373,0.0751948991965719,2.36418886066915e-26,16585,0.717538937762678,0.282461062237322,1,0,0.762701723278781,0.150453814057718
"11","ventilation_bin","white",7,10,0.0491578764694638,0.0319955240968566,0.066320228842071,1.97702768963314e-08,9416,0.655865563459535,0.344134436540465,0.735905452463,0.264094547537,0.813214972294471,0.100160428541996
"12","ventilation_bin","white",11,100,-0.0234630538775589,-0.0612401721948432,0.0143140644397255,0.223474998162659,3633,1,0,0.508378869628424,0.491621130371576,0.863813222314237,0.0467592135779128
"13","rrt","all",0,3,0.0644129418999323,0.0544116821014848,0.0744142016983798,1.57005050669127e-36,20753,1,0,1,0,0.912095069019094,0.181918325135579
"14","rrt","all",4,6,0.0901122896482151,0.0750693287158301,0.1051552505806,7.85099124615352e-32,20447,1,0,1,0,0.890883648685971,0.173286371035133
"15","rrt","all",7,10,0.0677476286489184,0.0452992163945432,0.0901960409032935,3.3160679647631e-09,11878,1,0,0.737168293904313,0.262831706095687,0.865373432031077,0.113303038522015
"16","rrt","all",11,100,-0.0340078795276519,-0.0612311538824641,-0.00678460517283982,0.014346330416548,4604,0.460515369341241,0.539484630658759,0.53994414630564,0.46005585369436,0.849686518286315,0.0519989225290975
"17","rrt","non-white",0,3,-0.0181716202992624,-0.0334418754908134,-0.00290136510771142,0.019679545985707,3775,1,0,1,0,0.962897636047984,0.0925980570588015
"18","rrt","non-white",4,6,0.0338406790689735,0.00436497530668158,0.0633163828312653,0.0244330184224621,3862,1,0,1,0,0.934064144557894,0.145022084185929
"19","rrt","non-white",7,10,-0.0244176802141713,-0.0574223722437259,0.00858701181538318,0.147042890837491,2462,1,0,0.499696566576463,0.500303433423537,0.943963311460519,0.0970211356214353
"20","rrt","non-white",11,100,-0.0378841138787693,-0.094820264648768,0.0190520368912294,0.192184945471782,971,0.314063481549825,0.685936518450175,0.279984417026736,0.720015582973264,0.904842989827509,0.0167006119037948
"21","rrt","white",0,3,0.0663782271128665,0.0537194664313406,0.0790369877943925,8.89398557632432e-25,16978,1,0,1,0,0.880186249850297,0.172989959015033
"22","rrt","white",4,6,0.104346622129771,0.0869751949679233,0.121718049291618,5.35734871180083e-32,16585,1,0,1,0,0.882368140352428,0.154674125655448
"23","rrt","white",7,10,0.0877456013759371,0.0612573872923749,0.114233815459499,8.42829262032341e-11,9416,1,0,0.715311162972914,0.284688837027086,0.861004746532299,0.102434340167184
"24","rrt","white",11,100,-0.0394883632963037,-0.0702389513847715,-0.00873777520783589,0.0118381096606096,3633,0.49288146584156,0.50711853415844,0.510110221049692,0.489889778950308,0.844232201201067,0.0385072127524129
"25","pressor","all",0,3,0.0465368516988245,0.0366814090138856,0.0563922943837635,2.14208581460985e-20,20753,0.751244855312211,0.248755144687789,1,0,0.757742495090783,0.178222469283287
"26","pressor","all",4,6,0.0303619009032956,0.0201138292698905,0.0406099725367007,6.36475867482423e-09,20447,0.697576262146266,0.302423737853734,1,0,0.736962234869807,0.1707000775607
"27","pressor","all",7,10,0.0559182767981586,0.0406997335321511,0.0711368200641662,5.94538229621155e-13,11878,0.55325311717279,0.44674688282721,0.705283485952657,0.294716514047343,0.816333459349307,0.110311640900103
"28","pressor","all",11,100,0.0970559355380965,0.0627923764776824,0.131319494598511,2.82497248377704e-08,4604,1,0,0.531217756567235,0.468782243432765,0.894703811326672,0.0432587881888926
"29","pressor","non-white",0,3,0.0636449372438804,0.0400443086955832,0.0872455657921777,1.25276156077793e-07,3775,1,0,1,0,0.803211006631254,0.0986887295003301
"30","pressor","non-white",4,6,0.0357354108382908,0.0131971423584218,0.0582736793181599,0.00188571203082845,3862,0.410694551649828,0.589305448350172,1,0,0.852859437542534,0.135529229359168
"31","pressor","non-white",7,10,0.0736867706087997,0.0426408189047471,0.104732722312852,3.287155142287e-06,2462,0.391503029954955,0.608496970045045,0.456474231731998,0.543525768268002,0.894919823443963,0.095095953144832
"32","pressor","non-white",11,100,0.195644437168405,0.132920413999385,0.258368460337424,9.74715025883128e-10,971,1,0,0.295155919861036,0.704844080138964,0.918534303279692,0.0264599958836078
"33","pressor","white",0,3,0.0449703270756578,0.0340021294551704,0.0559385246961451,9.27218111304645e-16,16978,0.615168269773954,0.384831730226046,1,0,0.757814154501462,0.176149389745828
"34","pressor","white",4,6,0.0279633160661674,0.0164486466915676,0.0394779854407673,1.93736850183976e-06,16585,0.693532574671905,0.306467425328095,1,0,0.732074175875141,0.154315293061464
"35","pressor","white",7,10,0.0508232692674486,0.0332957533399321,0.0683507851949651,1.32143296265499e-08,9416,0.571225854744469,0.428774145255531,0.724596190900977,0.275403809099023,0.794862692598757,0.102045842469251
"36","pressor","white",11,100,0.0642897766250354,0.025594543509123,0.102985009740948,0.00112826400058169,3633,1,0,0.452114715828016,0.547885284171984,0.894753083957836,0.050229040928739
