"","treatment","race","sev_start","sev_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,3,0.113969620231855,0.100974618614127,0.126964621849583,3.17052916636692e-66,16093
"2","ventilation_bin","all",4,6,0.116109138871888,0.102870993517471,0.129347284226305,3.11369359359556e-66,13175
"3","ventilation_bin","all",7,10,0.110850666769773,0.0898503744502577,0.131850959089289,4.36709628638981e-25,6978
"4","ventilation_bin","all",11,100,0.0535521053548619,-0.0115108743897637,0.118615085099488,0.106692626448644,2021
"5","ventilation_bin","non-white",0,3,0.0922458586599288,0.0612209418186365,0.123270775501221,5.62184583498261e-09,2938
"6","ventilation_bin","non-white",4,6,0.11873046585002,0.0904931625184323,0.146967769181607,1.70368405821392e-16,2628
"7","ventilation_bin","non-white",7,10,0.127299388638464,0.0852458813677928,0.169352895909135,2.97304806605999e-09,1570
"8","ventilation_bin","non-white",11,100,0.153886238191722,-0.00562026033749852,0.313392736720942,0.0586325143182756,428
"9","ventilation_bin","white",0,3,0.121896522403597,0.106900512452848,0.136892532354347,3.79700332498209e-57,13155
"10","ventilation_bin","white",4,6,0.115579153620111,0.100591424440391,0.130566882799831,1.29545233731314e-51,10547
"11","ventilation_bin","white",7,10,0.10386414759261,0.0783622294168557,0.129366065768365,1.43186268034383e-15,5408
"12","ventilation_bin","white",11,100,0.0217864511202771,-0.0509105836973301,0.0944834859378843,0.556942428009283,1593
"13","rrt","all",0,3,0.0622695470607041,0.0479104061860092,0.0766286879353991,1.90090128305846e-17,16093
"14","rrt","all",4,6,0.05918222334857,0.0351013973929068,0.0832630493042333,1.45738171958155e-06,13175
"15","rrt","all",7,10,0.0152974917372807,-0.0176081763739247,0.0482031598484862,0.362198985036132,6978
"16","rrt","all",11,100,-0.0954594637949762,-0.146369528185038,-0.0445493994049146,0.000237738503018844,2021
"17","rrt","non-white",0,3,0.0466941896268674,0.0139336967038218,0.079454682549913,0.00521204891787987,2938
"18","rrt","non-white",4,6,0.0591244371789962,0.0057171743854177,0.112531699972575,0.0300208395128936,2628
"19","rrt","non-white",7,10,-0.0210951972764151,-0.0819006200285372,0.0397102254757069,0.496515924051823,1570
"20","rrt","non-white",11,100,-0.210809281113954,-0.319223876857129,-0.10239468537078,0.000138311967511265,428
"21","rrt","white",0,3,0.0639802282116268,0.0480846804306676,0.0798757759925859,3.04422459500749e-15,13155
"22","rrt","white",4,6,0.0589473022882155,0.0319282439439799,0.0859663606324512,1.90179475186678e-05,10547
"23","rrt","white",7,10,0.0276991554426158,-0.0112519794072574,0.066650290292489,0.163376046870463,5408
"24","rrt","white",11,100,-0.0670057826831809,-0.122845646035309,-0.0111659193310524,0.0186763932962379,1593
"25","pressor","all",0,3,0.0710600507486887,0.0605005529646961,0.0816195485326814,1.00446895128121e-39,16093
"26","pressor","all",4,6,0.0999188990475566,0.0878477533011284,0.111990044793985,3.41794813000513e-59,13175
"27","pressor","all",7,10,0.142037281485643,0.120904052397431,0.163170510573856,1.25113217009115e-39,6978
"28","pressor","all",11,100,0.187332792225293,0.115932933837832,0.258732650612753,2.71136749022396e-07,2021
"29","pressor","non-white",0,3,0.0809316060272223,0.0555710900194506,0.106292122034994,3.97925878875395e-10,2938
"30","pressor","non-white",4,6,0.105904278730465,0.0796019098375242,0.132206647623405,2.97917671465098e-15,2628
"31","pressor","non-white",7,10,0.147691149434164,0.105410403224754,0.189971895643574,7.56845992150762e-12,1570
"32","pressor","non-white",11,100,0.129066429705769,-0.0327037361189886,0.290836595530527,0.117873232965842,428
"33","pressor","white",0,3,0.0696983215985068,0.0580254298975113,0.0813712132995022,1.22919189660139e-31,13155
"34","pressor","white",4,6,0.0974697896489615,0.0839150723324306,0.111024506965492,4.13203229133746e-45,10547
"35","pressor","white",7,10,0.1420366098537,0.117671761071993,0.166401458635407,3.10213143819278e-30,5408
"36","pressor","white",11,100,0.187786681889922,0.108270487418,0.267302876361844,3.67850268438523e-06,1593
